τb,ρ_τ,Vss,VinitFO,VinitSO,CESS,CEFO,CESO
0.21,0.0,-68.41376750382003,-68.41952912812381,-68.41953086219719,0.0006653263015121702,0.0004968008824635106,0.000496750167855442
0.224,0.0,-68.38254532756261,-68.39628858100299,-68.3962984374584,0.0015793046131558075,0.0011768390532838069,0.0011765504980731922
0.238,0.0,-68.35212910892182,-68.37380206824093,-68.37382654502294,0.00247089449345661,0.0018354737080124028,0.0018347564246501413
0.252,0.0,-68.3223458993188,-68.35190799314057,-68.35195344972404,0.0033450831061512254,0.002477380413163921,0.002476047044349672
0.266,0.0,-68.29331017635039,-68.33081732902579,-68.33089032937431,0.004198432955220488,0.003096315689368412,0.0030941724027468975
0.28,0.0,-68.26498895273383,-68.31033402900935,-68.31044043817481,0.005031833159809818,0.0036979758512249994,0.0036948488744377173
0.294,0.0,-68.23746592044375,-68.29067654603436,-68.29082260306718,0.005842739653765472,0.004275888284887452,0.004271592498310994
0.308,0.0,-68.21066316516398,-68.27165810725792,-68.27184933785328,0.006633368340419166,0.004835488573968316,0.004829859459729358
0.322,0.0,-68.18509008693479,-68.2539141108612,-68.25415660982618,0.007388593311021374,0.005358011425016018,0.005350867600926179
0.336,0.0,-68.15934939076622,-68.2359989164038,-68.23629835056414,0.0081496269885879,0.005885989294651228,0.005877161266958142
0.35,0.0,-68.13489316380023,-68.21923671404834,-68.21959739050722,0.008873484027385858,0.0063803641003359335,0.006369722678797984
0.364,0.0,-68.11129017946786,-68.20337801374298,-68.20380580386636,0.009572826262723488,0.006848427136345148,0.00683579680121893
0.378,0.0,-68.09302068670806,-68.19276416619881,-68.1932625850267,0.010114639728662445,0.007161872924563717,0.007147150455314444
0.392,0.0,-68.07115151829473,-68.1784477893109,-68.17902079969443,0.010763781550363616,0.007584892905127427,0.007567956487650074
0.406,0.0,-68.05015945674879,-68.16495631323424,-68.16560738129886,0.011387477022608783,0.007983782700794695,0.007964527743883565
0.42,0.0,-68.03007566995424,-68.15232023063005,-68.15305288138484,0.011984727240959003,0.008357596741918938,0.00833591700925318
0.434,0.0,-68.01092713229119,-68.1405197432691,-68.14133573787014,0.0125546578809832,0.008706879120652378,0.008682720673208966
0.448,0.0,-67.99270067310138,-68.12958315927658,-68.13048476446765,0.013097591448091528,0.009030752904781947,0.009004047052083575
0.462,0.0,-67.97090668184299,-68.1150618160397,-68.1160527272399,0.013747368856493303,0.009461026133011252,0.00943165628783893
0.476,0.0,-67.95902719870935,-68.11034201509207,-68.11142049659098,0.014101813227713533,0.009600934994031585,0.009568963048610879
0.49,0.0,-67.93918178847542,-68.09757808620154,-68.09874675447304,0.014694349237813986,0.009979441325624006,0.009944776347011075
0.504,0.0,-67.92479686697448,-68.09018811536946,-68.09144575991697,0.015124172949212422,0.010198683593724667,0.01016136733117845
0.518,0.0,-67.91147256306523,-68.0838497214984,-68.08519763297981,0.015522548933886604,0.010386785036936796,0.010346779323084476
0.532,0.0,-67.90096083042027,-68.08012687076835,-68.0815595108099,0.015836998911863853,0.010497290765978828,0.010454763430845393
0.546,0.0,-67.89228881693941,-68.07813702889415,-68.07965142243962,0.016096525138486806,0.010556362864491131,0.01051140484898827
0.56,0.0,-67.88193559882582,-68.0744715417025,-68.07606817049293,0.01640649482603851,0.01066519312191172,0.010617786205937563
0.574,0.0,-67.87250347318067,-68.07174885238766,-68.07342781316525,0.016689010997119613,0.010746042590287885,0.010696185191043428
0.588,0.0,-67.86405793673462,-68.06996152167346,-68.0717205500744,0.01694207627622335,0.010799122131488037,0.010746883070206215
0.602,0.0,-67.85665772920271,-68.06910630603085,-68.07094068969948,0.017163896596320782,0.010824521514501972,0.010770042613778674
0.616,0.0,-67.85029323051756,-68.06918006356828,-68.07108469007169,0.017354729726121176,0.01082233092290008,0.01076576616926328
0.63,0.0,-67.84494973082992,-68.07017990864612,-68.0721494462095,0.017514990697121924,0.010792636325032356,0.01073414646442683
0.644,0.0,-67.84060598163873,-68.07209710557555,-68.07412625224553,0.01764529529425851,0.010735700771949519,0.010675445854923193
0.658,0.0,-67.83722618571416,-68.07491246621153,-68.0769951046109,0.017746700357379463,0.010652100909383844,0.010590265316472003
0.672,0.0,-67.83479368345776,-68.078568340136,-68.08069545088082,0.017819692855725267,0.010543558161050681,0.01048041237599695
0.686,0.0,-67.83329950402472,-68.08316265043351,-68.08533429433113,0.017864532838810065,0.010407178068052803,0.010342723377144702
0.7,0.0,-67.83268665135107,-68.08861800002983,-68.0908302832274,0.01788292526432378,0.01024527425112809,0.010179629219941866
