τb,ρ_τ,Vss,VinitFO,VinitSO,CESS,CEFO,CESO
0.21,0.0,-18.515656063645245,-18.514702400910593,-18.514702464943618,0.00013657022922131112,0.00021369270003890328,0.0002136875214044931
0.224,0.0,-18.51341891436676,-18.511126581057063,-18.511126932865754,0.00031750202385971704,0.0005029478190230474,0.0005029193543528709
0.238,0.0,-18.511340801995246,-18.507694633629534,-18.507695479440773,0.0004856155317760624,0.00078068283470345,0.000780614372031474
0.252,0.0,-18.509424140453522,-18.504407764244117,-18.50440928066596,0.0006407056885504581,0.0010467856438018952,0.0010466628508047915
0.266,0.0,-18.507624855278547,-18.50127668143219,-18.50127892982849,0.0007863309422291298,0.0013003747923374664,0.0013001926581739376
0.28,0.0,-18.506035777557738,-18.498282281280947,-18.498285431138974,0.0009149694803509689,0.0015429840452565458,0.0015427287943274859
0.294,0.0,-18.50461562802789,-18.49543454962796,-18.495438677120934,0.001029953983413101,0.0017737918827895882,0.0017734572929275494
0.308,0.0,-18.503365429727673,-18.492733631148553,-18.492738774076223,0.0011311945342318275,0.001992774283807508,0.00199235724236857
0.322,0.0,-18.502321818770014,-18.490173505201938,-18.4901797792105,0.0012157174878426602,0.002200407939422222,0.002199899020206564
0.336,0.0,-18.50140521834118,-18.487770658135904,-18.487777863706487,0.001289962578522541,0.0023953445396995843,0.002394759885877562
0.35,0.0,-18.50069269737332,-18.485510292250524,-18.4855184291623,0.00134768283655462,0.0025787739413589694,0.0025781135381179876
0.364,0.0,-18.50008535048905,-18.48341273213288,-18.483421348637297,0.0013968870397598199,0.002749036647395675,0.002748337141607271
0.378,0.0,-18.499730360703612,-18.481447301507558,-18.481456568193927,0.0014256482139269888,0.002908613529432502,0.0029078610609625244
0.392,0.0,-18.499518975280726,-18.479635064371372,-18.47964457982112,0.0014427751909826814,0.0030557861108158058,0.0030550132723226042
0.406,0.0,-18.499474133864993,-18.4779704275412,-18.47797982836558,0.0014464084114227393,0.0031910005529038887,0.0031902368698080164
0.42,0.0,-18.49958233467753,-18.47645086502403,-18.476459667954774,0.0014376416076562482,0.0033144548297718845,0.0033137395849847096
0.434,0.0,-18.499875458574767,-18.47506581912782,-18.475073725204197,0.001413892274841455,0.003427000385235246,0.00342635790241963
0.448,0.0,-18.50026320490367,-18.47382323169547,-18.473829229933912,0.00138247779020495,0.003527986218976542,0.003527498701885623
0.462,0.0,-18.50075149565796,-18.472721447290883,-18.47272458850839,0.0013429194865126615,0.003617541657483736,0.003617286315436452
0.476,0.0,-18.501317299386763,-18.471766826515413,-18.47176609035769,0.0012970844916204705,0.003695145008812739,0.0036952048562657325
0.49,0.0,-18.50202351212539,-18.470956544314202,-18.47095090049284,0.0012398795679875452,0.003761021803062148,0.0037614806744123985
0.504,0.0,-18.502870625045677,-18.47029427140385,-18.470282719078114,0.0011712678587909586,0.0038148701034028676,0.003815809442097917
0.518,0.0,-18.503907794373053,-18.46977635051247,-18.469757819408414,0.0010872721793147022,0.0038569844024587407,0.003858491292615396
0.532,0.0,-18.505135323160008,-18.469403706117276,-18.469377114125663,0.000987873801278516,0.003887287305629039,0.0038894497803707573
0.546,0.0,-18.506603057678703,-18.469166321914383,-18.469131136868715,0.0008690443453964747,0.003906591761062783,0.003909453111505368
0.56,0.0,-18.5082109413521,-18.46908021110562,-18.469034663236584,0.000738892539867031,0.00391359456462359,0.003917298691148874
0.574,0.0,-18.510009205703373,-18.469135525953703,-18.46907829895421,0.0005933602454344378,0.003909096177656224,0.00391375006766137
0.588,0.0,-18.511978739317897,-18.469333799158235,-18.46926321520649,0.00043400366989798655,0.003892972191259725,0.003898712179431607
0.602,0.0,-18.514154527780995,-18.469667536555246,-18.469582434598983,0.0002580030998604599,0.0038658328542251486,0.0038727531928093306
0.616,0.0,-18.516490250069847,-18.470140870316005,-18.470039419496125,6.911709163848201e-5,0.0038273435068296724,0.003835592839444013
0.63,0.0,-18.518979045024317,-18.470754451094415,-18.470634495723278,-0.00013208877906745187,0.0037774532046721543,0.003787206492999573
0.644,0.0,-18.521689455100855,-18.471494481116885,-18.47135500390455,-0.00035114199197616713,0.0037172862522636407,0.0037286258092803504
0.658,0.0,-18.5245291555749,-18.472374289816862,-18.472212630551972,-0.0005805671436056592,0.0036457618575569395,0.0036589034378207153
0.672,0.0,-18.527520993186084,-18.47338665413229,-18.47320059317194,-0.0008221983310237047,0.0035634707612364203,0.003578594162622073
0.686,0.0,-18.530659369689623,-18.474529794513348,-18.474316952418604,-0.0010755703475170408,0.0034705615609065266,0.0034878594113745276
0.7,0.0,-18.533931246804322,-18.475802310818626,-18.475560068821856,-0.0013396177330295966,0.0033671524539646835,0.003386836650448366
