τb,ρ_τ,Vss,VinitFO,VinitSO,CESS,CEFO,CESO
0.21,0.0,-69.75934802418809,-69.76311829769196,-69.76311890831046,0.000489261474268865,0.0003979154048479039,0.00039790061181510517
0.224,0.0,-69.73139827663458,-69.74065084841172,-69.74065446555862,0.0011668174126360231,0.0009424409855911531,0.0009423532839181181
0.238,0.0,-69.70438472297744,-69.71889045083401,-69.71889911355242,0.0018223325024930848,0.001470254249543279,0.0014700440463486508
0.252,0.0,-69.67815047655984,-69.69801852811437,-69.69803435231445,0.0024595532033984124,0.0019769093143822136,0.0019765250445318294
0.266,0.0,-69.65277050930395,-69.67790170076793,-69.67792624190574,0.0030766025307376044,0.0024655987903416943,0.0024650024051950936
0.28,0.0,-69.6281170594973,-69.65845413167175,-69.65848867004627,0.0036765340902900068,0.0029383702172536275,0.0029375302911220924
0.294,0.0,-69.60436239744914,-69.63990133685938,-69.6399469700036,0.004255103310179198,0.003389701420440705,0.0033885909357052046
0.308,0.0,-69.58137982636987,-69.62203449472315,-69.6220917498881,0.004815343740027567,0.003824633578786374,0.003823239365900122
0.322,0.0,-69.55920493520775,-69.60512073411435,-69.60519083578131,0.005356340060745035,0.004236625511395253,0.004234917424434936
0.336,0.0,-69.53790279511142,-69.58901442724218,-69.58909731044433,0.005876455612089382,0.0046291849807469365,0.004627164276969742
0.35,0.0,-69.51733188711475,-69.57366027728695,-69.5737563447423,0.00637910048312329,0.0050036264540644915,0.005001283007407764
0.364,0.0,-69.49770430752912,-69.55926954975108,-69.55937860435415,0.006859046692124782,0.0053547630382033695,0.005352101392470665
0.378,0.0,-69.47879698024353,-69.54567037240415,-69.54579345432502,0.007321705567156611,0.0056867547890866454,0.005683749297692664
0.392,0.0,-69.46080611791037,-69.5330071645236,-69.53314263065789,0.00776223485580152,0.005996044940796974,0.005992735518585146
0.406,0.0,-69.44357278497453,-69.5211494312747,-69.52129586105622,0.00818448611098388,0.006285791300922439,0.006282212493182282
0.42,0.0,-69.42757031028107,-69.51025459608341,-69.5104076784685,0.008576816542422039,0.006552119390134115,0.006548376504893483
0.434,0.0,-69.41239879157355,-69.50016953957352,-69.50032598796828,0.008948986062135678,0.006798746400488387,0.006794919810121813
0.448,0.0,-69.39827215378392,-69.49109006986023,-69.49124632770665,0.009295709052022039,0.007020859634599974,0.0070170364400437
0.462,0.0,-69.3849395295422,-69.4828328427176,-69.48298572913683,0.009623107807079201,0.007222921977267482,0.007219180145986215
0.476,0.0,-69.3727060598843,-69.47559394539608,-69.47573786452179,0.009923655654411556,0.007400114836339844,0.007396591545715703
0.49,0.0,-69.36143450185449,-69.46917474989829,-69.46930277296495,0.01020069037854876,0.007557282251511754,0.007554147378642906
0.504,0.0,-69.3512968677279,-69.46377444251519,-69.46387905058536,0.010449952660672945,0.0076895317250165185,0.00768696970461491
0.518,0.0,-69.34219994070793,-69.45918725976736,-69.45925907096758,0.01067370477267171,0.007801888840160531,0.007800129772801201
0.532,0.0,-69.3341655695617,-69.45563288642295,-69.455663423178,0.010871383594269979,0.007888961545311046,0.007888213427872603
0.546,0.0,-69.3318823523999,-69.45777310930659,-69.45775101956923,0.010927570779883045,0.007836530418291243,0.007837071551232588
0.56,0.0,-69.32117924086857,-69.45125274060929,-69.4511700768694,0.01119102374344294,0.007996279004749862,0.007998304504523324
0.574,0.0,-69.31604189440063,-69.45030880488446,-69.45015367340152,0.011317514126587103,0.008019408512577542,0.008023209816683696
0.588,0.0,-69.31217373732795,-69.45041760673996,-69.450176757851,0.011412770528571148,0.008016742471216087,0.00802264415958942
0.602,0.0,-69.30920133838623,-69.45144579292294,-69.45110818543023,0.011485977328612229,0.007991548690678973,0.007999821027083076
0.616,0.0,-69.30716253635657,-69.45327045663241,-69.4528228400733,0.01153619529583616,0.007946841042468789,0.007957808203791439
0.63,0.0,-69.30620240330805,-69.45607029199772,-69.45549926714122,0.011559845738656982,0.007878245661767203,0.007892235082847643
0.644,0.0,-69.30604985698085,-69.45966637414011,-69.45895905287463,0.011563603406941292,0.007790152673738282,0.0078074789638520325
0.658,0.0,-69.30686119489864,-69.4642186552035,-69.46336303336521,0.01154361798916237,0.00767865230698539,0.0076996078935998025
0.672,0.0,-69.30850779357428,-69.46951945448568,-69.46850267945572,0.011503059690925133,0.007548841578911114,0.0075737393336414716
0.686,0.0,-69.31108382451507,-69.47571362799816,-69.47452062777234,0.011439612916780417,0.00739718487985197,0.00742639135656975
0.7,0.0,-69.31441022387901,-69.48265488509347,-69.48127662250455,0.011357693651935508,0.007227277442082736,0.00726101100363441
