τb,ρ_τ,Vss,VinitFO,VinitSO,VinitSO_smooth
0.21,0.0,-75.53363590659539,-75.54027765236876,-75.54028008913409,-75.53776138979732
0.266,0.0,-75.20237638193177,-75.27030937571847,-75.27056986384264,-75.27286965044905
0.294,0.0,-75.05518803910732,-75.15164144354094,-75.15216598244905,-75.15044075325065
0.308,0.0,-74.98096318012121,-75.09074083493675,-75.09141903381256,-75.09194482569329
0.336,0.0,-74.84155750166782,-74.97636433499248,-74.97738073312003,-74.98069612398052
0.35,0.0,-74.77679501562392,-74.92413561397441,-74.92534525756919,-74.92806579435255
0.364,0.0,-74.71665980835797,-74.87416466519474,-74.87554091516293,-74.8775131085617
0.378,0.0,-74.65730616823052,-74.82669762584324,-74.82828686303756,-74.8290992888717
0.392,0.0,-74.60051927072239,-74.78035160804522,-74.78214548901143,-74.78288555754627
0.406,0.0,-74.54716289176467,-74.73748051554544,-74.73951143770034,-74.73893313684901
0.42,0.0,-74.49713831831423,-74.69695752185046,-74.69917756446185,-74.69730324904367
0.434,0.0,-74.44965322338199,-74.65754386379213,-74.65992088246249,-74.65805711639388
0.448,0.0,-74.40358264083409,-74.62123387824936,-74.62380508661123,-74.62125596116334
0.462,0.0,-74.36104239623059,-74.58677563872048,-74.5894954795939,-74.58696100561573
0.476,0.0,-74.32149291563152,-74.55482843205158,-74.55767351647748,-74.55523347201478
0.49,0.0,-74.28562020505237,-74.52528267846407,-74.52820765701503,-74.5261345826241
0.504,0.0,-74.25385392072658,-74.49782928297917,-74.50076613097337,-74.4997255597074
0.518,0.0,-74.22481883332729,-74.47378267041361,-74.4767009810446,-74.47606762552836
0.532,0.0,-74.19955944552063,-74.45229981286585,-74.45512292423793,-74.45522200235067
0.546,0.0,-74.17801865323442,-74.43376079528353,-74.4364130876285,-74.43724991243799
0.56,0.0,-74.15991402655355,-74.41859561977091,-74.42100938882588,-74.42221257805404
0.574,0.0,-74.14597586099235,-74.40624472670993,-74.40830790521915,-74.41017122146249
0.588,0.0,-74.1351834881506,-74.3981415775026,-74.39979781797884,-74.40118706492699
0.602,0.0,-74.12966135385751,-74.39221574240023,-74.39329387799938,-74.39532133071123
0.616,0.0,-74.127336706027,-74.39011702669697,-74.3905370115163,-74.39263524107893
0.63,0.0,-74.12874546523844,-74.39238369846124,-74.39206601226242,-74.39319001829374
0.644,0.0,-74.13488037763733,-74.39728202547576,-74.39608628447654,-74.39704688461934
0.658,0.0,-74.14423086068095,-74.40666421611459,-74.40453059312395,-74.40426706231942
0.672,0.0,-74.15768472027285,-74.41906815382788,-74.41588645791118,-74.41491177365768
0.686,0.0,-74.17491812850763,-74.43457848206695,-74.43024799682351,-74.42904224089776
0.7,0.0,-74.1946588649152,-74.45397760529158,-74.44843289707292,-74.44671968630338
