Moment,Baseline,Alternative,% Diff
tax on biz profits (Tb),0.2,0.644,222.0
tax on labor income (Tn),0.37,0.37,0.0
collateral constraint (chi),2.0,2.0,0.0
interest rate (r),0.0602,0.0607,0.9034
govt transfer (tr),0.6314,0.7762,22.9419
wage (w),2.1465,2.1363,-0.4759
Nb (pvt biz labor demand),0.1468,0.1087,-25.9664
Nc (corp labor demand),0.5325,0.615,15.5082
Kc (corp capital demand),8.0457,9.1955,14.2902
Yc (corp value added),2.0781,2.3889,14.9585
Kb (pvt biz capital demand),3.0353,2.2006,-27.5
Yb (pvt biz value added),0.955,0.7037,-26.3187
C (consumption),2.2472,2.2882,1.8266
K (total capital),11.0811,11.3961,2.843
Y (total output),3.0331,3.0926,1.9616
Tc (tax on cons.),0.1348,0.1373,1.8266
Tp (tax on profits corp),0.121,0.1396,15.3227
Tn (labor income tax),0.5395,0.5721,6.0367
Tb (tax on profits pvt biz),0.0665,0.1595,139.6067
Total tax revenue,0.8619,1.0084,16.9951
Fraction of biz owners,0.3566,0.3126,-12.3479
total. utility (V),-27.9628,-27.7754,0.6702
total. assets (A),14.082,14.4159,2.3712
total. assets (workers),8.8646,9.6512,8.8741
total. assets (owners),5.2174,4.7647,-8.6776
total. consumption (C),2.2472,2.2882,1.8266
profits (Pib),0.3327,0.2476,-25.588
rKb (int. payments biz),0.1827,0.1336,-26.845
rcKc (int. payments corp),0.6052,0.698,15.3227
dK (depreciation),0.4543,0.4672,2.843
Fraction constrained,0.0301,0.0273,-9.3004
Assets constrained,0.2083,0.1656,-20.5212
Capital constrained,0.417,0.3314,-20.5131
External debt (Bb),0.2086,0.1659,-20.505
Bb/Kb (debt to capital ratio),0.0687,0.0754,9.6482
Bb/Y (debt to output ratio),0.0688,0.0536,-22.0344
mean log wage earnings,0.7838,0.7762,-0.9645
std log wage earnings,0.2624,0.2623,-0.05
10% quantile log wage earnings,0.4261,0.4213,-1.1195
25% quantile log wage earnings,0.7639,0.7591,-0.6245
75% quantile log wage earnings,1.1016,1.0969,-0.433
90% quantile log wage earnings,1.1016,1.0969,-0.433
mean log MPK,-2.274,-2.2619,0.5332
std log MPK,0.0683,0.0971,42.1623
mean profit share,0.3447,0.3462,0.4528
std profit share,0.0186,0.0244,31.4354
10% quantile log profits,-4.2199,-4.2205,-0.0135
25% quantile log profits,-2.9844,-2.985,-0.0191
75% quantile log profits,0.7222,0.7089,-1.8536
90% quantile log profits,0.7222,0.7217,-0.0791
mean log profits,-1.0729,-1.3313,-24.0887
std log profits,1.7943,1.8043,0.5554
semi-emp-elasticity,-0.4807,-0.572,-18.9909
noise parameter,0.4,0.4,0.0
CE welfare gains,0.0,0.008698286159525948,0.8698286159525948
